customerID,Contract,MonthlyCharges,TotalCharges,PaymentMethod,PaperlessBilling,billing_risk_score,Churn,churn_risk_segment
9489-DEDVP,Two year,69.2,4872.35,Credit card (automatic),Yes,1,No,Low Risk
9867-JCZSP,One year,20.75,418.25,Mailed check,No,0,No,Low Risk
4671-VJLCL,Two year,79.85,4861.45,Credit card (automatic),Yes,1,No,Low Risk
4080-IIARD,Month-to-month,76.2,981.45,Electronic check,Yes,6,No,High Risk
3714-NTNFO,Month-to-month,84.5,3906.7,Electronic check,Yes,6,No,High Risk
5948-UJZLF,Month-to-month,49.25,97.0,Mailed check,No,3,No,Low Risk
7760-OYPDY,Month-to-month,80.65,144.15,Electronic check,Yes,6,Yes,Medium Risk
7639-LIAYI,Two year,79.75,4217.8,Credit card (automatic),Yes,1,No,Low Risk
2954-PIBKO,Two year,64.15,4254.1,Credit card (automatic),Yes,1,No,Low Risk
8012-SOUDQ,Month-to-month,90.25,3838.75,Electronic check,Yes,6,No,Medium Risk
9420-LOJKX,Month-to-month,99.1,1426.4,Credit card (automatic),Yes,4,Yes,Medium Risk
6575-SUVOI,Month-to-month,69.5,1752.65,Credit card (automatic),Yes,4,No,High Risk
7495-OOKFY,Month-to-month,80.65,633.3,Credit card (automatic),Yes,4,Yes,Medium Risk
4667-QONEA,One year,74.85,4456.35,Credit card (automatic),Yes,1,No,Low Risk
1658-BYGOY,Month-to-month,95.45,1752.55,Electronic check,Yes,6,Yes,High Risk
8769-KKTPH,One year,99.65,6311.2,Credit card (automatic),Yes,1,No,Low Risk
5067-XJQFU,One year,108.45,7076.35,Electronic check,Yes,3,No,Medium Risk
3957-SQXML,Two year,24.95,894.3,Credit card (automatic),No,0,No,Low Risk
5954-BDFSG,Two year,107.5,7853.7,Credit card (automatic),Yes,1,No,Low Risk
0434-CSFON,Month-to-month,100.5,4707.1,Electronic check,Yes,6,No,Medium Risk
1215-FIGMP,Month-to-month,89.9,5450.7,Bank transfer (automatic),Yes,4,No,Medium Risk
0526-SXDJP,Two year,42.1,2962.0,Bank transfer (automatic),No,0,No,Low Risk
0557-ASKVU,One year,54.4,957.1,Credit card (automatic),Yes,1,No,Low Risk
5698-BQJOH,Month-to-month,94.4,857.25,Electronic check,No,5,Yes,Medium Risk
5122-CYFXA,Month-to-month,75.3,244.1,Electronic check,Yes,6,No,Medium Risk
8627-ZYGSZ,One year,78.9,3650.35,Electronic check,Yes,3,No,High Risk
3410-YOQBQ,Two year,79.2,2497.2,Mailed check,No,0,No,Low Risk
3170-NMYVV,Two year,20.15,930.9,Bank transfer (automatic),No,0,No,Low Risk
7410-OIEDU,Month-to-month,79.85,887.35,Mailed check,Yes,4,No,Medium Risk
2273-QCKXA,Month-to-month,49.05,49.05,Mailed check,No,3,No,Low Risk
0731-EBJQB,One year,20.4,1090.65,Electronic check,Yes,3,No,Low Risk
1891-QRQSA,Two year,111.6,7099.0,Bank transfer (automatic),Yes,1,No,Low Risk
8028-PNXHQ,Two year,24.25,1424.6,Bank transfer (automatic),Yes,1,No,Low Risk
5630-AHZIL,Month-to-month,64.5,177.4,Bank transfer (automatic),Yes,4,No,Medium Risk
2673-CXQEU,One year,110.5,6139.5,Electronic check,No,2,No,Low Risk
6416-JNVRK,One year,55.65,2688.85,Credit card (automatic),No,0,No,Low Risk
5590-ZSKRV,Month-to-month,54.65,482.25,Mailed check,No,3,No,Low Risk
0191-ZHSKZ,Month-to-month,74.75,2111.3,Electronic check,Yes,6,No,Medium Risk
3887-PBQAO,One year,25.9,1216.6,Credit card (automatic),Yes,1,No,Low Risk
5919-TMRGD,Month-to-month,79.35,79.35,Electronic check,Yes,6,Yes,High Risk
8108-UXRQN,Month-to-month,50.55,565.35,Electronic check,No,5,No,Medium Risk
9191-MYQKX,Month-to-month,75.15,496.9,Bank transfer (automatic),Yes,4,Yes,High Risk
9919-YLNNG,Month-to-month,103.8,4327.5,Bank transfer (automatic),Yes,4,No,Medium Risk
0318-ZOPWS,Two year,20.15,973.35,Bank transfer (automatic),Yes,1,No,Low Risk
4445-ZJNMU,Month-to-month,99.3,918.75,Credit card (automatic),Yes,4,No,Medium Risk
4808-YNLEU,One year,62.15,2215.45,Bank transfer (automatic),Yes,1,No,Low Risk
1862-QRWPE,Two year,20.65,1057.0,Bank transfer (automatic),No,0,No,Low Risk
2796-NNUFI,Two year,19.95,927.1,Mailed check,Yes,1,No,Low Risk
3016-KSVCP,Month-to-month,33.75,1009.25,Mailed check,No,3,No,Low Risk
4767-HZZHQ,Month-to-month,82.05,2570.2,Bank transfer (automatic),No,3,No,Low Risk
2424-WVHPL,Month-to-month,74.7,74.7,Electronic check,No,5,No,Medium Risk
7233-PAHHL,Two year,84.0,5714.25,Mailed check,Yes,1,No,Low Risk
6067-NGCEU,Month-to-month,111.05,7107.0,Credit card (automatic),Yes,4,No,Medium Risk
9848-JQJTX,Two year,100.9,7459.05,Bank transfer (automatic),Yes,1,No,Low Risk
8637-XJIVR,Month-to-month,78.95,927.35,Electronic check,Yes,6,Yes,Medium Risk
9803-FTJCG,One year,66.85,4748.7,Credit card (automatic),Yes,1,No,Low Risk
0278-YXOOG,Month-to-month,21.05,113.85,Mailed check,No,3,Yes,High Risk
3212-KXOCR,Two year,21.0,1107.2,Bank transfer (automatic),No,0,No,Low Risk
4598-XLKNJ,Month-to-month,98.5,2514.5,Electronic check,Yes,6,Yes,High Risk
6380-ARCEH,Month-to-month,20.2,20.2,Mailed check,No,3,No,Low Risk
3679-XASPY,Month-to-month,19.45,19.45,Electronic check,No,5,No,Medium Risk
7123-WQUHX,One year,95.0,3605.6,Bank transfer (automatic),No,0,No,Low Risk
5386-THSLQ,One year,45.55,3027.25,Bank transfer (automatic),No,0,No,Low Risk
3192-NQECA,Two year,110.0,7611.85,Bank transfer (automatic),Yes,1,Yes,High Risk
6180-YBIQI,Month-to-month,24.3,100.2,Mailed check,No,3,No,Low Risk
6728-DKUCO,One year,104.15,7303.05,Electronic check,Yes,3,No,Low Risk
9750-BOOHV,One year,30.15,927.65,Mailed check,No,0,No,Low Risk
8597-CWYHH,One year,94.35,3921.3,Mailed check,No,0,No,Low Risk
2848-YXSMW,Two year,19.4,1363.25,Credit card (automatic),No,0,No,Low Risk
0486-HECZI,Month-to-month,96.75,5238.9,Electronic check,Yes,6,Yes,High Risk
4549-ZDQYY,One year,57.95,3042.25,Credit card (automatic),No,0,No,Medium Risk
5712-AHQNN,Month-to-month,91.65,3954.1,Electronic check,Yes,6,No,Medium Risk
4846-WHAFZ,Month-to-month,76.5,2868.15,Electronic check,Yes,6,Yes,Medium Risk
5256-SKJGO,Two year,54.6,3423.5,Electronic check,Yes,3,No,Low Risk
3071-VBYPO,Month-to-month,89.85,248.4,Electronic check,No,5,No,Medium Risk
9560-BBZXK,Two year,31.05,1126.35,Bank transfer (automatic),No,0,No,Low Risk
5299-RULOA,Month-to-month,100.25,1064.65,Electronic check,Yes,6,Yes,High Risk
8402-OOOHJ,Two year,20.65,835.15,Mailed check,No,0,No,Low Risk
9445-ZUEQE,Month-to-month,85.2,2151.6,Credit card (automatic),Yes,4,No,High Risk
1091-SOZGA,One year,99.8,5515.45,Credit card (automatic),Yes,1,No,Low Risk
2928-HLDBA,Month-to-month,20.7,112.75,Mailed check,No,3,No,Low Risk
0404-SWRVG,Month-to-month,74.4,229.55,Electronic check,Yes,6,Yes,Medium Risk
6497-TILVL,Month-to-month,50.7,350.35,Mailed check,No,3,No,Low Risk
7219-TLZHO,Month-to-month,20.85,62.9,Mailed check,No,3,No,Low Risk
4622-YNKIJ,Two year,88.95,3027.65,Electronic check,Yes,3,No,Low Risk
4412-YLTKF,Month-to-month,78.05,2135.5,Electronic check,Yes,6,Yes,Medium Risk
6734-PSBAW,Two year,23.55,1723.95,Bank transfer (automatic),Yes,1,No,Low Risk
3930-ZGWVE,Month-to-month,19.75,19.75,Mailed check,No,3,No,Low Risk
2639-UGMAZ,One year,56.45,3985.35,Electronic check,Yes,3,No,Low Risk
2876-GZYZC,Month-to-month,85.95,1215.65,Electronic check,Yes,6,No,Medium Risk
6207-WIOLX,Month-to-month,58.6,1502.65,Credit card (automatic),Yes,4,Yes,Medium Risk
8587-XYZSF,Two year,50.55,3260.1,Bank transfer (automatic),No,0,No,Low Risk
3091-FYHKI,Month-to-month,35.45,35.45,Electronic check,Yes,6,Yes,Medium Risk
2372-HWUHI,Month-to-month,44.35,81.25,Electronic check,No,5,Yes,Medium Risk
7799-LGRDP,Two year,25.7,1188.2,Credit card (automatic),Yes,1,No,Low Risk
7850-VWJUU,Month-to-month,75.0,1778.5,Bank transfer (automatic),Yes,4,No,High Risk
3774-VBNXY,Two year,20.2,1277.75,Mailed check,No,0,No,Low Risk
6217-KDYWC,Two year,19.6,1170.55,Mailed check,Yes,1,No,Low Risk
0390-DCFDQ,Month-to-month,70.45,70.45,Mailed check,Yes,4,Yes,Medium Risk
3146-MSEGF,Two year,88.05,6425.65,Credit card (automatic),Yes,1,No,Low Risk
4080-OGPJL,Month-to-month,71.15,563.65,Electronic check,No,5,Yes,Medium Risk
1095-WGNGG,Two year,101.05,5971.25,Bank transfer (automatic),Yes,1,No,Low Risk
2636-SJDOU,One year,84.3,5289.05,Credit card (automatic),Yes,1,No,Low Risk
1131-QQZEB,Two year,23.95,1756.2,Bank transfer (automatic),No,0,No,Low Risk
5716-EZXZN,Two year,99.05,6416.7,Credit card (automatic),Yes,1,No,Low Risk
6837-BJYDQ,One year,19.6,61.35,Mailed check,No,0,No,Low Risk
2135-RXIHG,Month-to-month,45.65,45.65,Electronic check,Yes,6,Yes,Medium Risk
6440-DKQGE,One year,64.5,1929.95,Credit card (automatic),No,0,No,Low Risk
3466-BYAVD,Month-to-month,69.5,1071.4,Mailed check,Yes,4,No,Medium Risk
3780-YVMFA,Month-to-month,68.55,564.35,Electronic check,Yes,6,No,High Risk
3874-EQOEP,Month-to-month,95.0,655.5,Mailed check,No,3,Yes,Medium Risk
1679-JRFBR,One year,108.15,7930.55,Credit card (automatic),Yes,1,No,Low Risk
9073-ZZIAY,Two year,86.1,5215.25,Electronic check,No,2,No,Low Risk
3077-RSNTJ,Month-to-month,19.7,113.5,Mailed check,No,3,No,Low Risk
6551-GNYDG,Month-to-month,80.9,1152.8,Bank transfer (automatic),Yes,4,No,Medium Risk
9167-APMXZ,Month-to-month,84.15,1821.95,Bank transfer (automatic),Yes,4,No,Medium Risk
2749-CTKAJ,One year,20.15,419.9,Mailed check,No,0,No,Low Risk
6371-NZYEG,Two year,64.25,1024.0,Mailed check,No,0,No,Low Risk
7554-NEWDD,Two year,25.7,251.6,Bank transfer (automatic),No,0,No,Low Risk
8992-VONJD,Month-to-month,56.0,764.55,Electronic check,Yes,6,No,Medium Risk
0867-MKZVY,Month-to-month,82.4,1592.35,Electronic check,No,5,Yes,Medium Risk
4482-EWFMI,Month-to-month,69.7,135.2,Electronic check,Yes,6,No,Medium Risk
4648-YPBTM,Two year,73.9,3958.25,Bank transfer (automatic),Yes,1,No,Low Risk
2907-ILJBN,One year,20.6,233.9,Mailed check,No,0,No,Low Risk
6345-FZOQH,Two year,19.9,1363.45,Mailed check,No,0,No,Low Risk
3376-BMGFE,Month-to-month,70.9,273.0,Bank transfer (automatic),Yes,4,Yes,Medium Risk
5997-OPVFA,Two year,89.05,6254.45,Bank transfer (automatic),Yes,1,No,Medium Risk
3445-HXXGF,Month-to-month,45.3,2651.2,Electronic check,Yes,6,Yes,High Risk
1159-WFSGR,Month-to-month,20.4,321.4,Electronic check,No,5,No,Medium Risk
7654-YWJUF,One year,84.25,3539.25,Bank transfer (automatic),Yes,1,No,Low Risk
1875-QIVME,Month-to-month,104.4,242.8,Electronic check,Yes,6,Yes,High Risk
6727-IOTLZ,Two year,81.95,1181.75,Mailed check,No,0,No,Low Risk
0691-JVSYA,One year,94.85,5000.2,Bank transfer (automatic),Yes,1,Yes,High Risk
5918-VUKWP,One year,20.55,654.55,Bank transfer (automatic),No,0,No,Low Risk
1744-JHKYS,Month-to-month,24.7,780.2,Electronic check,No,5,No,Medium Risk
2656-FMOKZ,Month-to-month,74.45,1145.7,Mailed check,Yes,4,Yes,High Risk
2070-FNEXE,Month-to-month,76.45,503.6,Bank transfer (automatic),No,3,Yes,Low Risk
5947-SGKCL,Month-to-month,105.35,1559.25,Bank transfer (automatic),Yes,4,No,Medium Risk
3712-PKXZA,One year,20.55,1252.0,Credit card (automatic),Yes,1,No,Low Risk
6317-YPKDH,Month-to-month,29.95,29.95,Bank transfer (automatic),No,3,Yes,Low Risk
6582-OIVSP,Month-to-month,45.3,45.3,Mailed check,No,3,No,Low Risk
9367-WXLCH,Month-to-month,84.5,662.65,Bank transfer (automatic),No,3,Yes,Low Risk
5524-KHNJP,One year,74.75,2453.3,Credit card (automatic),No,0,No,Low Risk
1918-ZBFQJ,Month-to-month,79.25,1111.65,Electronic check,Yes,6,Yes,High Risk
1024-GUALD,Month-to-month,24.8,24.8,Electronic check,Yes,6,Yes,High Risk
4827-USJHP,Month-to-month,51.8,1023.85,Mailed check,Yes,4,No,Medium Risk
8167-GJLRN,Month-to-month,30.4,82.15,Electronic check,No,5,No,Medium Risk
0956-SYCWG,One year,19.65,244.8,Electronic check,No,2,No,Low Risk
8017-UVSZU,Month-to-month,56.6,2379.1,Credit card (automatic),No,3,No,Low Risk
7100-FQPRV,One year,71.9,3173.35,Credit card (automatic),Yes,1,No,Low Risk
2472-OVKUP,Month-to-month,91.0,531.0,Electronic check,Yes,6,Yes,Medium Risk
2984-RGEYA,Two year,19.75,1375.4,Bank transfer (automatic),No,0,No,Low Risk
9680-NIAUV,Two year,109.7,8129.3,Credit card (automatic),No,0,No,Low Risk
2146-EGVDT,Two year,19.3,1192.7,Credit card (automatic),No,0,No,Low Risk
2604-IJPDU,Month-to-month,96.55,1901.65,Electronic check,Yes,6,No,Medium Risk
9178-JHUVJ,Two year,24.1,587.4,Bank transfer (automatic),Yes,1,No,Low Risk
6168-YBYNP,Month-to-month,111.35,6519.75,Electronic check,Yes,6,No,Medium Risk
7255-SSFBC,Two year,112.25,8041.65,Bank transfer (automatic),Yes,1,No,Low Risk
3645-DEYGF,Month-to-month,20.75,20.75,Mailed check,No,3,No,Low Risk
9323-HGFWY,One year,101.9,2681.15,Credit card (automatic),Yes,1,No,Low Risk
8544-GOQSH,Month-to-month,80.05,1112.3,Credit card (automatic),Yes,4,No,Medium Risk
3363-DTIVD,Two year,105.55,7405.5,Electronic check,No,2,No,Low Risk
7018-WBJNK,Month-to-month,78.3,1033.95,Credit card (automatic),Yes,4,No,Medium Risk
9142-KZXOP,Month-to-month,68.85,2958.95,Credit card (automatic),No,3,No,Low Risk
7674-YTAFD,One year,79.95,2684.85,Bank transfer (automatic),Yes,1,No,Medium Risk
6348-SNFUS,Two year,55.45,4179.2,Credit card (automatic),Yes,1,No,Low Risk
1285-OKIPP,Month-to-month,79.9,79.9,Electronic check,No,5,Yes,Medium Risk
7825-ECJRF,Month-to-month,106.6,1934.45,Electronic check,Yes,6,Yes,High Risk
1347-KTTTA,One year,102.45,6654.1,Credit card (automatic),Yes,1,No,Low Risk
7841-TZDMQ,Month-to-month,46.0,84.5,Credit card (automatic),Yes,4,Yes,Medium Risk
4195-NZGTA,Month-to-month,25.25,25.25,Electronic check,No,5,No,High Risk
7157-SMCFK,Two year,19.75,1124.2,Mailed check,No,0,No,Low Risk
4709-LKHYG,One year,20.0,540.05,Electronic check,No,2,No,Low Risk
2504-DSHIH,Month-to-month,86.8,1975.85,Electronic check,No,5,No,High Risk
0699-NDKJM,Month-to-month,58.75,3437.45,Bank transfer (automatic),Yes,4,No,Medium Risk
9286-BHDQG,Two year,45.25,3139.8,Credit card (automatic),No,0,No,Low Risk
0230-WEQUW,Two year,56.6,3789.2,Bank transfer (automatic),Yes,1,No,Low Risk
2040-LDIWQ,Two year,84.2,5324.5,Bank transfer (automatic),Yes,1,No,Low Risk
6496-JDSSB,Month-to-month,80.0,624.6,Bank transfer (automatic),Yes,4,No,Medium Risk
9408-SSNVZ,Month-to-month,70.15,268.35,Electronic check,Yes,6,Yes,Medium Risk
4443-EMBNA,Two year,24.75,1836.9,Bank transfer (automatic),No,0,No,Low Risk
6469-MRVET,One year,20.2,20.2,Electronic check,Yes,3,No,Low Risk
0742-MOABM,Month-to-month,50.05,179.35,Mailed check,No,3,Yes,Low Risk
5961-VUSRV,One year,19.35,219.35,Bank transfer (automatic),Yes,1,No,Low Risk
6778-JFCMK,One year,50.6,1288.75,Mailed check,Yes,1,No,Low Risk
6341-JVQGF,One year,81.15,2545.75,Mailed check,Yes,1,No,Low Risk
2232-DMLXU,Month-to-month,55.2,55.2,Mailed check,No,3,Yes,Low Risk
4811-JBUVU,Month-to-month,89.9,2723.15,Credit card (automatic),Yes,4,No,Medium Risk
0945-TSONX,Two year,85.3,4107.25,Credit card (automatic),Yes,1,No,Low Risk
2651-ZCBXV,Two year,108.0,5760.65,Credit card (automatic),Yes,1,No,Low Risk
3316-UWXUY,Month-to-month,93.5,4747.5,Credit card (automatic),Yes,4,No,Medium Risk
8937-RDTHP,Month-to-month,84.6,84.6,Mailed check,Yes,4,Yes,Medium Risk
7083-MIOPC,Two year,20.25,1566.9,Credit card (automatic),No,0,No,Low Risk
1984-GPTEH,Month-to-month,25.15,702.0,Electronic check,No,5,No,Medium Risk
1251-KRREG,Month-to-month,54.4,114.1,Mailed check,Yes,4,Yes,Medium Risk
0621-JFHOL,Two year,29.6,299.05,Mailed check,Yes,1,No,Low Risk
9903-LYSAB,Month-to-month,73.15,1305.95,Electronic check,Yes,6,No,Medium Risk
0094-OIFMO,Month-to-month,95.0,1120.3,Electronic check,Yes,6,Yes,Medium Risk
9227-UAQFT,Two year,19.75,284.35,Mailed check,No,0,No,Low Risk
7301-ABVAD,Two year,86.6,6350.5,Bank transfer (automatic),No,0,No,Low Risk
6614-FHDBO,Two year,109.2,7878.3,Bank transfer (automatic),No,0,No,Medium Risk
7576-ASEJU,One year,74.7,3187.65,Credit card (automatic),Yes,1,No,Medium Risk
9058-HRZSV,Month-to-month,94.4,6126.15,Electronic check,No,5,No,Medium Risk
4522-AKYLR,Month-to-month,54.8,731.3,Electronic check,Yes,6,No,Medium Risk
0221-WMXNQ,Month-to-month,75.35,273.4,Electronic check,No,5,No,Medium Risk
0303-UNCIP,One year,65.0,2531.8,Mailed check,No,0,No,Low Risk
9947-OTFQU,Month-to-month,74.4,1074.3,Electronic check,Yes,6,Yes,Medium Risk
0322-YINQP,Month-to-month,48.55,48.55,Mailed check,Yes,4,Yes,Medium Risk
0959-WHOKV,One year,99.0,4298.45,Electronic check,Yes,3,No,Low Risk
4075-JFPGR,One year,93.5,4619.55,Electronic check,Yes,3,No,High Risk
4629-NRXKX,Month-to-month,70.4,147.15,Electronic check,No,5,Yes,Medium Risk
9514-JDSKI,Month-to-month,40.2,40.2,Electronic check,No,5,Yes,Medium Risk
3282-ZISZV,One year,83.7,2633.3,Credit card (automatic),No,0,No,Low Risk
3675-YDUPJ,Month-to-month,19.85,193.05,Mailed check,Yes,4,No,Medium Risk
4111-BNXIF,Two year,59.55,4103.9,Electronic check,Yes,3,No,Low Risk
7017-VFHAY,Two year,115.1,7008.15,Credit card (automatic),No,0,No,Low Risk
6655-LHBYW,One year,114.35,5791.1,Credit card (automatic),No,0,No,Low Risk
4959-JOSRX,Month-to-month,44.6,80.55,Credit card (automatic),Yes,4,Yes,Medium Risk
5046-NUHWD,Month-to-month,45.0,1228.65,Electronic check,Yes,6,No,High Risk
7273-TEFQD,Month-to-month,41.15,132.2,Electronic check,Yes,6,Yes,Medium Risk
3606-TWKGI,Month-to-month,106.9,1364.3,Electronic check,Yes,6,Yes,High Risk
7529-ZDFXI,Month-to-month,89.85,4925.35,Electronic check,Yes,6,No,High Risk
7605-BDWDC,Two year,49.85,1520.1,Bank transfer (automatic),Yes,1,No,Low Risk
1950-KSVVJ,One year,113.3,5032.25,Mailed check,No,0,No,Low Risk
0123-CRBRT,Two year,88.1,5526.75,Mailed check,No,0,No,Low Risk
6292-TOSSS,Two year,24.9,1195.25,Bank transfer (automatic),No,0,No,Low Risk
3197-ARFOY,Month-to-month,105.0,2007.25,Mailed check,Yes,4,No,Medium Risk
6323-AYBRX,Two year,19.35,1099.6,Mailed check,No,0,Yes,Medium Risk
7014-ZZXAW,Two year,24.25,1732.95,Credit card (automatic),Yes,1,No,Low Risk
4385-GZQXV,Month-to-month,94.45,1511.2,Electronic check,Yes,6,Yes,High Risk
7633-MVPUY,Two year,59.75,3450.15,Electronic check,Yes,3,No,Low Risk
6366-ZGQGL,Month-to-month,24.8,24.8,Bank transfer (automatic),No,3,Yes,Low Risk
4716-HHKQH,Month-to-month,107.05,2172.05,Electronic check,No,5,No,Medium Risk
5940-AHUHD,Month-to-month,70.6,70.6,Mailed check,No,3,Yes,Low Risk
6432-TWQLB,Month-to-month,85.4,401.1,Electronic check,Yes,6,Yes,Medium Risk
4484-GLZOU,Month-to-month,105.05,5624.85,Electronic check,Yes,6,Yes,High Risk
3179-GBRWV,Month-to-month,64.95,1339.8,Bank transfer (automatic),Yes,4,No,Medium Risk
8645-KWHJO,Month-to-month,55.0,771.95,Electronic check,Yes,6,No,Medium Risk
4130-MZLCC,Month-to-month,50.55,244.75,Bank transfer (automatic),No,3,No,Low Risk
0314-TKOSI,Month-to-month,55.15,322.9,Mailed check,No,3,No,Low Risk
8229-MYEJZ,Month-to-month,51.2,498.25,Electronic check,No,5,No,Medium Risk
2080-SRCDE,Month-to-month,25.4,25.4,Mailed check,No,3,No,Low Risk
9577-WJVCQ,Month-to-month,54.45,3687.75,Mailed check,No,3,No,Low Risk
9512-UIBFX,Month-to-month,95.15,1779.95,Mailed check,No,3,Yes,High Risk
6202-DYYFX,One year,76.0,1783.6,Credit card (automatic),Yes,1,No,Low Risk
3808-HFKDE,Month-to-month,44.35,927.15,Electronic check,Yes,6,No,Medium Risk
5583-SXDAG,Month-to-month,70.0,70.0,Electronic check,No,5,Yes,Medium Risk
3488-PGMQJ,Month-to-month,74.5,606.55,Electronic check,Yes,6,Yes,Medium Risk
3580-REOAC,Month-to-month,44.85,435.4,Credit card (automatic),Yes,4,Yes,Medium Risk
7534-BFESC,Month-to-month,76.1,1712.7,Electronic check,Yes,6,Yes,Medium Risk
3727-OWVYD,One year,61.2,2021.2,Mailed check,No,0,No,Low Risk
2294-SALNE,One year,86.8,1940.8,Mailed check,No,0,No,Low Risk
4847-TAJYI,Month-to-month,89.35,567.8,Electronic check,Yes,6,No,Medium Risk
1563-IWQEX,Month-to-month,19.7,220.35,Mailed check,No,3,No,Medium Risk
8203-XJZRC,Month-to-month,20.25,20.25,Mailed check,No,3,No,Low Risk
6556-DBKZF,Two year,76.05,5436.45,Electronic check,No,2,No,Low Risk
6851-WEFYX,Month-to-month,100.8,3437.5,Electronic check,Yes,6,No,High Risk
2985-JUUBZ,Month-to-month,74.55,3015.75,Electronic check,Yes,6,No,Medium Risk
6390-DSAZX,Month-to-month,73.6,73.6,Mailed check,Yes,4,Yes,Medium Risk
0895-LMRSF,One year,64.9,1509.8,Bank transfer (automatic),Yes,1,No,Low Risk
8098-LLAZX,Month-to-month,95.45,396.1,Electronic check,Yes,6,Yes,Medium Risk
8266-VBFQL,Month-to-month,90.4,356.65,Electronic check,Yes,6,No,Medium Risk
8181-YHCMF,Two year,60.3,4109.0,Credit card (automatic),No,0,No,Low Risk
2240-HSJQD,Month-to-month,81.85,3141.7,Mailed check,Yes,4,No,Medium Risk
1248-DYXUB,Two year,24.8,1229.1,Mailed check,No,0,No,Low Risk
0265-EDXBD,Month-to-month,74.9,2303.35,Electronic check,Yes,6,Yes,Medium Risk
4115-BNPJY,Two year,75.55,2054.4,Mailed check,No,0,No,Medium Risk
3167-SNQPL,Month-to-month,101.15,3741.85,Electronic check,No,5,No,High Risk
4091-TVOCN,One year,78.75,3682.45,Credit card (automatic),Yes,1,No,Low Risk
