customerID,InternetService,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,service_adoption_score
7233-PAHHL,DSL,1,1,0,1,1,1,1,6
6067-NGCEU,Fiber optic,1,1,1,1,0,1,1,6
9848-JQJTX,Fiber optic,1,0,1,1,0,1,1,5
8637-XJIVR,Fiber optic,1,1,0,0,0,0,0,2
9803-FTJCG,DSL,1,1,1,0,1,0,0,4
0278-YXOOG,No,1,0,0,0,0,0,0,1
3212-KXOCR,No,1,0,0,0,0,0,0,1
4598-XLKNJ,Fiber optic,1,0,1,1,0,1,1,5
6380-ARCEH,No,1,0,0,0,0,0,0,1
3679-XASPY,No,1,0,0,0,0,0,0,1
7123-WQUHX,Fiber optic,1,0,0,1,1,1,0,4
5386-THSLQ,DSL,0,0,1,1,0,1,0,3
3192-NQECA,Fiber optic,1,0,1,1,1,1,1,6
6180-YBIQI,DSL,0,0,0,0,0,0,0,0
6728-DKUCO,Fiber optic,1,1,1,0,0,1,1,5
9750-BOOHV,DSL,0,1,0,0,0,0,0,1
8597-CWYHH,Fiber optic,1,0,0,0,0,1,1,3
2848-YXSMW,No,1,0,0,0,0,0,0,1
0486-HECZI,Fiber optic,1,1,1,0,0,1,0,4
4549-ZDQYY,DSL,1,1,0,1,1,0,0,4
5712-AHQNN,Fiber optic,1,0,1,1,0,1,0,4
4846-WHAFZ,Fiber optic,1,0,0,0,0,0,0,1
5256-SKJGO,DSL,0,0,1,0,1,1,1,4
3071-VBYPO,Fiber optic,1,1,1,0,0,1,0,4
9560-BBZXK,DSL,0,1,0,0,0,0,0,1
5299-RULOA,Fiber optic,1,1,0,0,0,1,1,4
8402-OOOHJ,No,1,0,0,0,0,0,0,1
9445-ZUEQE,Fiber optic,1,0,1,0,1,0,0,3
1091-SOZGA,Fiber optic,1,0,0,1,0,1,1,4
2928-HLDBA,No,1,0,0,0,0,0,0,1
0404-SWRVG,Fiber optic,1,0,0,0,0,0,0,1
6497-TILVL,DSL,1,1,0,0,0,0,0,2
7219-TLZHO,No,1,0,0,0,0,0,0,1
4622-YNKIJ,Fiber optic,1,1,0,0,1,1,0,4
4412-YLTKF,Fiber optic,1,0,0,1,0,0,0,2
6734-PSBAW,No,1,0,0,0,0,0,0,1
3930-ZGWVE,No,1,0,0,0,0,0,0,1
2639-UGMAZ,DSL,0,1,1,0,0,1,1,4
2876-GZYZC,Fiber optic,1,0,0,0,0,0,1,2
6207-WIOLX,DSL,0,1,1,1,0,1,1,5
8587-XYZSF,DSL,1,0,0,0,1,0,0,2
3091-FYHKI,DSL,0,0,0,0,0,0,1,1
2372-HWUHI,DSL,1,0,0,0,0,0,0,1
7799-LGRDP,No,1,0,0,0,0,0,0,1
7850-VWJUU,Fiber optic,1,1,0,0,0,0,0,2
3774-VBNXY,No,1,0,0,0,0,0,0,1
6217-KDYWC,No,1,0,0,0,0,0,0,1
0390-DCFDQ,Fiber optic,1,0,0,0,0,0,0,1
3146-MSEGF,DSL,1,1,1,1,1,1,1,7
4080-OGPJL,DSL,1,1,0,0,1,0,1,4
1095-WGNGG,Fiber optic,1,0,1,0,0,1,1,4
2636-SJDOU,Fiber optic,1,1,1,0,0,0,0,3
1131-QQZEB,No,1,0,0,0,0,0,0,1
5716-EZXZN,Fiber optic,1,1,1,0,1,1,0,5
6837-BJYDQ,No,1,0,0,0,0,0,0,1
2135-RXIHG,DSL,1,0,0,0,0,0,0,1
6440-DKQGE,DSL,1,0,1,1,0,1,0,4
3466-BYAVD,DSL,1,0,1,1,1,0,1,5
3780-YVMFA,DSL,1,0,0,0,1,1,1,4
3874-EQOEP,Fiber optic,1,0,0,0,0,1,1,3
1679-JRFBR,Fiber optic,1,1,1,1,0,1,1,6
9073-ZZIAY,DSL,1,1,1,1,1,1,1,7
3077-RSNTJ,No,1,0,0,0,0,0,0,1
6551-GNYDG,Fiber optic,1,0,0,0,0,0,1,2
9167-APMXZ,Fiber optic,1,0,0,0,0,1,0,2
2749-CTKAJ,No,1,0,0,0,0,0,0,1
6371-NZYEG,DSL,1,1,0,1,0,1,0,4
7554-NEWDD,No,1,0,0,0,0,0,0,1
8992-VONJD,DSL,1,1,1,0,0,0,0,3
0867-MKZVY,Fiber optic,1,1,0,0,0,0,0,2
4482-EWFMI,Fiber optic,1,0,0,0,0,0,0,1
4648-YPBTM,DSL,1,0,1,1,1,0,1,5
2907-ILJBN,No,1,0,0,0,0,0,0,1
6345-FZOQH,No,1,0,0,0,0,0,0,1
3376-BMGFE,Fiber optic,1,0,0,0,0,0,0,1
5997-OPVFA,DSL,1,1,1,1,1,1,1,7
3445-HXXGF,DSL,0,0,1,1,0,0,1,3
1159-WFSGR,No,1,0,0,0,0,0,0,1
7654-YWJUF,Fiber optic,1,1,0,1,1,0,0,4
1875-QIVME,Fiber optic,1,0,0,1,1,1,1,5
6727-IOTLZ,DSL,1,0,1,1,1,1,1,6
0691-JVSYA,Fiber optic,1,0,0,1,0,1,1,4
5918-VUKWP,No,1,0,0,0,0,0,0,1
1744-JHKYS,No,1,0,0,0,0,0,0,1
2656-FMOKZ,Fiber optic,1,0,0,0,0,0,0,1
2070-FNEXE,Fiber optic,1,1,0,0,0,0,0,2
5947-SGKCL,Fiber optic,1,0,1,1,0,1,1,5
3712-PKXZA,No,1,0,0,0,0,0,0,1
6317-YPKDH,DSL,0,0,1,0,0,0,0,1
6582-OIVSP,DSL,1,0,0,0,0,0,0,1
9367-WXLCH,Fiber optic,1,0,0,0,0,0,1,2
5524-KHNJP,DSL,1,1,0,1,0,1,1,5
1918-ZBFQJ,Fiber optic,1,0,1,1,0,0,0,3
1024-GUALD,DSL,0,0,0,0,0,0,0,0
4827-USJHP,DSL,1,0,1,0,0,0,0,2
8167-GJLRN,DSL,0,0,0,0,1,0,0,1
0956-SYCWG,No,1,0,0,0,0,0,0,1
8017-UVSZU,DSL,1,0,1,0,0,0,0,2
7100-FQPRV,DSL,1,1,0,0,1,0,1,4
2472-OVKUP,Fiber optic,1,0,1,1,0,0,1,4
2984-RGEYA,No,1,0,0,0,0,0,0,1
9680-NIAUV,Fiber optic,1,1,1,1,0,1,1,6
2146-EGVDT,No,1,0,0,0,0,0,0,1
2604-IJPDU,Fiber optic,1,1,1,0,1,1,0,5
9178-JHUVJ,No,1,0,0,0,0,0,0,1
6168-YBYNP,Fiber optic,1,0,1,1,1,1,1,6
7255-SSFBC,Fiber optic,1,0,1,1,1,1,1,6
3645-DEYGF,No,1,0,0,0,0,0,0,1
9323-HGFWY,Fiber optic,1,1,0,0,1,1,1,5
8544-GOQSH,Fiber optic,1,0,1,0,1,0,0,3
3363-DTIVD,Fiber optic,1,1,0,1,0,1,1,5
7018-WBJNK,Fiber optic,1,0,0,0,0,1,0,2
9142-KZXOP,Fiber optic,1,0,0,0,0,0,0,1
7674-YTAFD,Fiber optic,1,0,1,0,1,0,0,3
6348-SNFUS,DSL,0,1,1,1,1,0,1,5
1285-OKIPP,Fiber optic,1,0,0,0,0,0,1,2
7825-ECJRF,Fiber optic,1,1,0,1,1,1,1,6
1347-KTTTA,Fiber optic,1,0,1,1,1,1,1,6
7841-TZDMQ,DSL,1,0,0,0,0,0,0,1
4195-NZGTA,DSL,0,0,0,0,0,0,0,0
7157-SMCFK,No,1,0,0,0,0,0,0,1
4709-LKHYG,No,1,0,0,0,0,0,0,1
2504-DSHIH,Fiber optic,1,0,0,0,0,0,1,2
0699-NDKJM,DSL,0,1,1,1,0,1,1,5
9286-BHDQG,DSL,0,1,1,1,1,0,0,4
0230-WEQUW,DSL,0,1,1,1,1,1,0,5
2040-LDIWQ,DSL,1,0,1,1,1,1,1,6
6496-JDSSB,Fiber optic,1,0,0,0,0,1,0,2
9408-SSNVZ,Fiber optic,1,0,0,0,0,0,0,1
4443-EMBNA,No,1,0,0,0,0,0,0,1
6469-MRVET,No,1,0,0,0,0,0,0,1
0742-MOABM,DSL,1,0,0,0,1,0,0,2
5961-VUSRV,No,1,0,0,0,0,0,0,1
6778-JFCMK,DSL,0,1,0,0,0,1,1,3
6341-JVQGF,DSL,1,1,0,1,1,1,1,6
2232-DMLXU,DSL,1,0,0,0,0,1,0,2
4811-JBUVU,Fiber optic,1,0,0,0,1,0,1,3
0945-TSONX,DSL,1,1,1,0,1,1,1,6
2651-ZCBXV,Fiber optic,1,1,1,0,1,1,1,6
3316-UWXUY,Fiber optic,1,1,1,0,1,0,1,5
8937-RDTHP,Fiber optic,1,1,0,0,0,0,1,3
7083-MIOPC,No,1,0,0,0,0,0,0,1
1984-GPTEH,No,1,0,0,0,0,0,0,1
1251-KRREG,DSL,1,0,1,0,0,0,0,2
0621-JFHOL,DSL,0,0,0,0,1,0,0,1
9903-LYSAB,Fiber optic,1,0,0,0,0,0,0,1
0094-OIFMO,Fiber optic,1,0,1,0,0,1,1,4
9227-UAQFT,No,1,0,0,0,0,0,0,1
7301-ABVAD,DSL,1,0,1,1,1,1,1,6
6614-FHDBO,Fiber optic,1,0,1,1,1,1,1,6
7576-ASEJU,DSL,1,1,0,0,1,1,1,5
9058-HRZSV,Fiber optic,1,1,1,1,0,0,1,5
4522-AKYLR,DSL,1,0,1,1,0,0,0,3
0221-WMXNQ,Fiber optic,1,1,0,0,0,0,0,2
0303-UNCIP,DSL,1,0,0,1,0,0,1,3
9947-OTFQU,Fiber optic,1,0,1,0,0,0,0,2
0322-YINQP,DSL,1,1,0,0,0,0,0,2
0959-WHOKV,Fiber optic,1,1,1,1,0,0,1,5
4075-JFPGR,Fiber optic,1,1,1,1,0,1,0,5
4629-NRXKX,Fiber optic,1,0,0,0,0,0,0,1
9514-JDSKI,DSL,0,0,1,0,0,1,0,2
3282-ZISZV,DSL,1,0,1,1,1,1,1,6
3675-YDUPJ,No,1,0,0,0,0,0,0,1
4111-BNXIF,DSL,0,0,1,1,1,1,1,5
7017-VFHAY,Fiber optic,1,1,1,1,1,1,1,7
6655-LHBYW,Fiber optic,1,1,1,1,1,1,1,7
4959-JOSRX,DSL,1,0,0,0,0,0,0,1
5046-NUHWD,DSL,0,1,0,1,0,0,1,3
7273-TEFQD,DSL,0,0,0,1,0,0,1,2
3606-TWKGI,Fiber optic,1,0,1,1,0,1,1,5
7529-ZDFXI,Fiber optic,1,0,1,0,0,0,1,3
7605-BDWDC,DSL,0,1,1,0,1,0,1,4
1950-KSVVJ,Fiber optic,1,1,1,1,1,1,1,7
0123-CRBRT,DSL,1,1,1,1,1,1,1,7
6292-TOSSS,No,1,0,0,0,0,0,0,1
3197-ARFOY,Fiber optic,1,1,1,0,1,1,1,6
6323-AYBRX,No,1,0,0,0,0,0,0,1
7014-ZZXAW,No,1,0,0,0,0,0,0,1
4385-GZQXV,Fiber optic,1,0,0,0,1,1,1,4
7633-MVPUY,DSL,1,1,1,0,1,0,0,4
6366-ZGQGL,DSL,0,0,0,0,0,0,0,0
4716-HHKQH,Fiber optic,1,0,1,0,1,1,1,5
5940-AHUHD,Fiber optic,1,0,0,0,0,0,0,1
6432-TWQLB,Fiber optic,1,0,1,0,1,0,0,3
4484-GLZOU,Fiber optic,1,0,1,1,0,1,1,5
3179-GBRWV,DSL,1,1,1,0,0,0,1,4
8645-KWHJO,DSL,0,0,0,1,1,1,1,4
4130-MZLCC,DSL,1,0,1,0,0,0,0,2
0314-TKOSI,DSL,1,1,1,0,0,0,0,3
8229-MYEJZ,DSL,1,0,1,0,0,0,0,2
2080-SRCDE,No,1,0,0,0,0,0,0,1
9577-WJVCQ,DSL,1,1,0,0,0,0,0,2
9512-UIBFX,Fiber optic,1,0,0,1,0,1,1,4
6202-DYYFX,Fiber optic,1,0,0,0,0,0,0,1
3808-HFKDE,DSL,1,0,0,0,0,0,0,1
5583-SXDAG,Fiber optic,1,0,0,0,0,0,0,1
3488-PGMQJ,Fiber optic,1,0,1,0,0,0,0,2
3580-REOAC,DSL,1,0,0,0,0,0,0,1
7534-BFESC,Fiber optic,1,0,0,0,0,0,0,1
3727-OWVYD,DSL,1,1,1,1,0,0,0,4
2294-SALNE,Fiber optic,1,0,1,1,1,0,0,4
4847-TAJYI,Fiber optic,1,0,0,0,0,1,1,3
1563-IWQEX,No,1,0,0,0,0,0,0,1
8203-XJZRC,No,1,0,0,0,0,0,0,1
6556-DBKZF,Fiber optic,1,0,0,1,0,0,0,2
6851-WEFYX,Fiber optic,1,0,0,1,0,1,1,4
2985-JUUBZ,DSL,1,0,0,1,0,1,1,4
6390-DSAZX,Fiber optic,1,1,0,0,0,0,0,2
0895-LMRSF,DSL,1,0,0,0,0,1,1,3
8098-LLAZX,Fiber optic,1,0,0,0,0,1,1,3
8266-VBFQL,Fiber optic,1,0,0,1,1,0,1,4
8181-YHCMF,DSL,0,0,1,1,1,1,1,5
2240-HSJQD,Fiber optic,1,0,1,0,0,0,0,2
1248-DYXUB,No,1,0,0,0,0,0,0,1
0265-EDXBD,Fiber optic,1,0,0,0,0,0,0,1
4115-BNPJY,DSL,1,0,0,1,1,1,1,5
3167-SNQPL,Fiber optic,1,0,1,0,0,1,1,4
4091-TVOCN,DSL,1,1,0,1,0,1,1,5
1098-TDVUQ,No,1,0,0,0,0,0,0,1
7277-OZCGZ,Fiber optic,1,1,0,0,1,0,1,4
1557-EMYVT,Fiber optic,1,1,1,1,1,1,1,7
2799-ARNLO,Fiber optic,1,0,0,0,0,0,0,1
7563-BIUPC,Fiber optic,1,0,0,0,0,1,0,2
5027-YOCXN,Fiber optic,1,1,1,0,1,1,1,6
3973-SKMLN,No,1,0,0,0,0,0,0,1
2321-OMBXY,DSL,1,1,1,0,1,1,1,6
2840-XANRC,Fiber optic,1,0,0,1,0,1,1,4
6745-JEFZB,Fiber optic,1,0,0,0,1,1,0,3
5020-ZSTTY,DSL,1,1,1,0,1,1,1,6
9880-TDQAC,DSL,0,0,1,1,1,1,1,5
8705-WZCYL,DSL,1,0,0,0,0,0,0,1
7102-JJVTX,DSL,1,1,0,0,0,0,0,2
8626-PTQGE,DSL,0,1,1,0,1,1,1,5
4983-CLMLV,Fiber optic,1,0,1,0,1,1,1,5
5701-YVSVF,Fiber optic,1,0,0,0,1,1,0,3
5804-LEPIM,Fiber optic,1,0,0,0,0,0,0,1
5697-GOMBF,DSL,0,0,0,0,0,1,0,1
2739-CACDQ,Fiber optic,1,0,0,1,0,0,0,2
9385-EHGDO,No,1,0,0,0,0,0,0,1
9498-FIMXL,No,1,0,0,0,0,0,0,1
2379-GYFLQ,Fiber optic,1,0,1,1,0,1,0,4
0122-OAHPZ,Fiber optic,1,0,0,0,0,0,0,1
2868-SNELZ,Fiber optic,1,0,0,1,0,0,0,2
4322-RCYMT,DSL,1,0,1,1,1,0,1,5
6680-NENYN,Fiber optic,1,0,1,1,0,1,1,5
2088-IEBAU,DSL,1,1,1,1,1,1,1,7
7982-VCELR,Fiber optic,1,0,1,0,0,1,1,4
1343-EHPYB,Fiber optic,1,0,1,1,0,1,1,5
6035-BXTTY,DSL,1,0,1,0,1,0,0,3
6885-PKOAM,DSL,1,1,1,1,1,1,1,7
7520-HQWJU,DSL,1,1,1,1,0,0,0,4
9639-BUJXT,No,1,0,0,0,0,0,0,1
5924-SNGKP,No,1,0,0,0,0,0,0,1
0021-IKXGC,Fiber optic,1,0,0,0,0,0,0,1
2034-GDRCN,Fiber optic,1,0,0,0,0,1,1,3
8966-SNIZF,No,1,0,0,0,0,0,0,1
6243-OZGFH,DSL,0,0,0,0,0,1,1,2
4654-DLAMQ,Fiber optic,1,1,1,1,0,0,1,5
0513-RBGPE,DSL,1,1,0,1,1,0,0,4
5160-UXJED,DSL,1,0,0,0,0,0,0,1
4115-NZRKS,Fiber optic,1,0,0,0,0,1,1,3
0219-YTZUE,Fiber optic,1,0,1,1,0,0,0,3
0623-IIHUG,DSL,0,1,0,0,0,1,0,2
4572-DVCGN,Fiber optic,1,0,0,0,0,0,1,2
3351-NGXYI,DSL,1,1,0,0,0,0,0,2
8984-EYLLL,Fiber optic,1,0,1,0,1,1,1,5
9057-MSWCO,DSL,0,1,0,0,0,0,0,1
9833-TGFHX,Fiber optic,1,1,0,0,0,1,1,4
9294-TDIPC,No,1,0,0,0,0,0,0,1
5229-DTFYB,Fiber optic,1,0,1,0,1,1,1,5
0104-PPXDV,DSL,1,0,0,1,0,0,0,2
5176-LMJXE,No,1,0,0,0,0,0,0,1
3583-KRKMD,Fiber optic,1,0,0,0,1,0,0,2
1010-DIAUQ,Fiber optic,1,0,0,1,0,1,1,4
9069-LGEUL,DSL,1,1,0,0,0,0,1,3
7302-ZHMHP,No,1,0,0,0,0,0,0,1
9571-EDEBV,Fiber optic,1,0,0,1,0,1,1,4
3520-FJGCV,Fiber optic,1,1,1,1,1,1,1,7
6563-VRERX,No,1,0,0,0,0,0,0,1
0259-GBZSH,Fiber optic,1,0,0,0,0,1,0,2
6122-EFVKN,DSL,0,1,0,0,1,0,0,2
2805-EDJPQ,Fiber optic,1,0,1,1,1,0,1,5
6862-CQUMB,Fiber optic,1,0,1,0,0,1,1,4
7156-MXBJE,DSL,1,0,1,1,1,1,1,6
6158-HDPXZ,DSL,0,0,0,0,0,0,0,0
9601-BRXPO,Fiber optic,1,0,0,1,1,1,1,5
2863-IMQDR,DSL,1,1,1,1,1,1,1,7
5686-CMAWK,Fiber optic,1,0,0,1,1,0,0,3
5651-CRHKQ,Fiber optic,1,0,1,1,1,0,0,4
6905-NIQIN,DSL,1,0,1,0,0,0,0,2
8204-YJCLA,DSL,0,1,1,1,1,1,1,6
5167-ZFFMM,Fiber optic,1,0,1,0,0,0,1,3
6583-SZVGP,Fiber optic,1,0,1,1,0,1,1,5
4895-TMWIR,No,1,0,0,0,0,0,0,1
0533-BNWKF,Fiber optic,1,0,1,1,0,0,0,3
1708-PBBOA,DSL,0,1,1,1,1,0,1,5
8782-LKFPK,Fiber optic,1,0,0,1,0,0,1,3
5522-JBWMO,DSL,1,0,0,0,0,0,0,1
3597-MVHJT,Fiber optic,1,0,0,0,0,1,1,3
9774-NRNAU,DSL,1,0,1,1,1,1,1,6
0224-RLWWD,DSL,1,0,0,0,0,0,0,1
9967-ATRFS,No,1,0,0,0,0,0,0,1
3951-NJCVI,Fiber optic,1,0,0,0,0,1,1,3
2977-CEBSX,DSL,1,1,1,1,1,1,1,7
0177-PXBAT,Fiber optic,1,1,0,1,1,1,1,6
6599-CEBNN,Fiber optic,1,0,1,0,0,0,0,2
2519-ERQOJ,DSL,0,0,0,1,1,1,1,4
5876-QMYLD,No,1,0,0,0,0,0,0,1
2277-AXSDC,No,1,0,0,0,0,0,0,1
9442-JTWDL,No,1,0,0,0,0,0,0,1
0979-PHULV,Fiber optic,1,0,0,1,0,1,1,4
3067-SVMTC,DSL,1,1,0,0,1,0,0,3
5495-GPSRW,No,1,0,0,0,0,0,0,1
7606-BPHHN,No,1,0,0,0,0,0,0,1
4742-DRORA,Fiber optic,1,1,0,1,0,1,0,4
0111-KLBQG,Fiber optic,1,0,1,0,0,1,1,4
4800-VHZKI,No,1,0,0,0,0,0,0,1
7989-CHGTL,No,1,0,0,0,0,0,0,1
0334-GDDSO,Fiber optic,1,0,1,0,0,0,0,2
4163-NCJAK,No,1,0,0,0,0,0,0,1
5233-AOZUF,Fiber optic,1,0,0,0,0,0,0,1
5973-EJGDP,Fiber optic,1,0,1,1,1,0,0,4
1996-DBMUS,Fiber optic,1,0,0,0,0,0,0,1
7916-VCCPB,Fiber optic,1,0,1,0,0,0,0,2
4686-GEFRM,Fiber optic,1,0,1,1,1,0,1,5
5249-QYHEX,No,1,0,0,0,0,0,0,1
0578-SKVMF,Fiber optic,1,0,1,0,0,0,1,3
5564-NEMQO,Fiber optic,1,0,0,1,0,0,0,2
2233-FAGXV,No,1,0,0,0,0,0,0,1
5605-IYGFG,Fiber optic,1,0,0,0,0,0,0,1
7663-ZTEGJ,Fiber optic,1,0,1,1,1,0,1,5
3935-TBRZZ,No,1,0,0,0,0,0,0,1
8111-BKVDS,DSL,0,1,1,1,0,0,0,3
2055-SIFSS,DSL,1,0,0,0,0,0,0,1
2806-MLNTI,Fiber optic,1,0,1,1,0,1,1,5
8734-DKSTZ,Fiber optic,1,0,0,0,0,0,1,2
4360-PNRQB,Fiber optic,1,0,0,0,0,0,0,1
6152-ONASV,DSL,1,1,0,0,1,0,0,3
9063-ZGTUY,No,1,0,0,0,0,0,0,1
7781-HVGMK,DSL,0,1,1,1,1,1,1,6
2181-UAESM,DSL,1,1,0,1,0,0,0,3
2957-LOLHO,DSL,1,0,0,0,0,0,0,1
6048-NJXHX,No,1,0,0,0,0,0,0,1
2320-SLKMB,DSL,0,0,0,1,1,1,0,3
4980-URKXC,No,1,0,0,0,0,0,0,1
4376-KFVRS,Fiber optic,1,1,1,1,1,1,1,7
5886-VLQVU,Fiber optic,1,0,0,0,1,0,1,3
3577-AMVUX,DSL,1,0,0,1,1,0,0,3
0771-WLCLA,Fiber optic,1,1,0,1,1,1,1,6
5628-RKIFK,Fiber optic,1,1,0,0,0,1,1,4
0206-TBWLC,Fiber optic,1,1,1,1,1,1,1,7
2937-FTHUR,DSL,1,1,0,0,0,0,1,3
1910-FMXJM,Fiber optic,1,0,0,0,0,0,1,2
7752-XUSCI,Fiber optic,1,0,1,1,0,1,1,5
4110-PFEUZ,Fiber optic,1,0,0,0,0,0,0,1
0732-OCQOC,No,1,0,0,0,0,0,0,1
5168-MSWXT,Fiber optic,1,0,0,1,0,1,1,4
1090-ESELR,Fiber optic,1,1,1,0,1,1,1,6
8592-PLTMQ,No,1,0,0,0,0,0,0,1
5760-WRAHC,DSL,1,1,0,1,1,0,1,5
8847-GEOOQ,DSL,0,0,1,1,1,1,1,5
0256-LTHVJ,Fiber optic,1,0,0,0,0,0,1,2
4785-FCIFB,No,1,0,0,0,0,0,0,1
8313-NDOIA,Fiber optic,1,0,1,1,0,1,1,5
5149-CUZUJ,Fiber optic,1,0,1,1,1,1,0,5
0942-KOWSM,DSL,1,0,1,1,1,1,1,6
4237-CLSMM,No,1,0,0,0,0,0,0,1
1452-VOQCH,Fiber optic,1,0,0,0,0,0,0,1
4719-UMSIY,No,1,0,0,0,0,0,0,1
