customerID,gender,SeniorCitizen,Partner,Dependents,tenure,customer_lifetime_value,revenue_tier,engagement_score
5067-XJQFU,Male,1,Yes,Yes,66,7157.7,Gold,57.0
3957-SQXML,Female,0,Yes,Yes,34,848.3,Bronze,22.0
5954-BDFSG,Female,0,No,No,72,7740.0,Gold,61.0
0434-CSFON,Female,0,Yes,No,47,4723.5,Gold,43.5
1215-FIGMP,Male,0,No,No,60,5394.0,Gold,45.0
0526-SXDJP,Male,0,Yes,No,72,3031.2000000000003,Gold,51.0
0557-ASKVU,Female,0,Yes,Yes,18,979.1999999999999,Bronze,24.0
5698-BQJOH,Female,0,No,No,9,849.6,Bronze,19.5
5122-CYFXA,Female,0,No,No,3,225.89999999999998,Bronze,26.5
8627-ZYGSZ,Male,0,Yes,No,47,3708.3,Gold,21.5
3410-YOQBQ,Female,0,No,No,31,2455.2000000000003,Silver,39.5
3170-NMYVV,Female,0,Yes,Yes,50,1007.4999999999999,Silver,30.0
7410-OIEDU,Male,0,No,No,10,798.5,Bronze,20.0
2273-QCKXA,Male,0,No,No,1,49.05,Bronze,10.5
0731-EBJQB,Female,0,Yes,Yes,52,1060.8,Silver,31.0
1891-QRQSA,Male,1,Yes,Yes,64,7142.4,Gold,62.0
8028-PNXHQ,Male,0,Yes,Yes,62,1503.5,Silver,36.0
5630-AHZIL,Female,0,No,Yes,3,193.5,Bronze,21.5
2673-CXQEU,Female,1,No,No,56,6188.0,Gold,58.0
6416-JNVRK,Female,0,No,No,46,2559.9,Silver,31.0
5590-ZSKRV,Female,0,Yes,Yes,8,437.2,Bronze,19.0
0191-ZHSKZ,Male,1,No,No,30,2242.5,Silver,40.0
3887-PBQAO,Female,0,Yes,Yes,45,1165.5,Silver,27.5
5919-TMRGD,Female,0,No,Yes,1,79.35,Bronze,6.5
8108-UXRQN,Female,0,Yes,Yes,11,556.05,Bronze,20.5
9191-MYQKX,Female,0,Yes,No,7,526.0500000000001,Bronze,3.5
9919-YLNNG,Female,0,No,No,42,4359.599999999999,Gold,51.0
0318-ZOPWS,Female,0,Yes,No,49,987.3499999999999,Bronze,29.5
4445-ZJNMU,Male,0,No,No,9,893.6999999999999,Bronze,24.5
4808-YNLEU,Female,0,Yes,No,35,2175.25,Silver,32.5
1862-QRWPE,Female,0,Yes,Yes,48,991.1999999999999,Bronze,29.0
2796-NNUFI,Female,0,Yes,Yes,46,917.6999999999999,Bronze,28.0
3016-KSVCP,Male,0,Yes,No,29,978.75,Bronze,19.5
4767-HZZHQ,Male,0,Yes,Yes,30,2461.5,Silver,30.0
2424-WVHPL,Male,1,No,No,1,74.7,Bronze,10.5
7233-PAHHL,Male,0,Yes,Yes,66,5544.0,Gold,63.0
6067-NGCEU,Female,0,No,No,65,7218.25,Gold,62.5
9848-JQJTX,Male,0,No,No,72,7264.8,Gold,61.0
8637-XJIVR,Female,0,No,No,12,947.4000000000001,Bronze,16.0
9803-FTJCG,Male,0,Yes,Yes,71,4746.349999999999,Gold,55.5
0278-YXOOG,Male,0,No,No,5,105.25,Bronze,-2.5
3212-KXOCR,Male,0,No,No,52,1092.0,Silver,31.0
4598-XLKNJ,Female,1,Yes,No,25,2462.5,Silver,33.5
6380-ARCEH,Male,0,No,No,1,20.2,Bronze,5.5
3679-XASPY,Female,0,Yes,Yes,1,19.45,Bronze,5.5
7123-WQUHX,Male,0,No,No,38,3610.0,Gold,39.0
5386-THSLQ,Female,1,Yes,No,66,3006.2999999999997,Gold,48.0
3192-NQECA,Male,0,Yes,No,68,7480.0,Gold,40.0
6180-YBIQI,Male,0,No,No,5,121.5,Bronze,2.5
6728-DKUCO,Female,0,Yes,Yes,72,7498.8,Gold,61.0
9750-BOOHV,Female,0,No,No,32,964.8,Bronze,21.0
8597-CWYHH,Male,0,No,No,43,4057.0499999999997,Gold,36.5
2848-YXSMW,Male,0,Yes,Yes,72,1396.8,Silver,41.0
0486-HECZI,Male,0,Yes,No,55,5321.25,Gold,27.5
4549-ZDQYY,Female,0,No,No,52,3013.4,Gold,36.0
5712-AHQNN,Female,0,No,No,43,3940.9500000000003,Gold,41.5
4846-WHAFZ,Female,1,Yes,No,37,2830.5,Silver,23.5
5256-SKJGO,Female,0,Yes,Yes,64,3494.4,Gold,52.0
3071-VBYPO,Male,0,Yes,Yes,3,269.54999999999995,Bronze,21.5
9560-BBZXK,Female,0,No,No,36,1117.8,Silver,23.0
5299-RULOA,Female,0,Yes,Yes,10,1002.5,Silver,21.0
8402-OOOHJ,Female,0,No,No,41,846.65,Bronze,25.5
9445-ZUEQE,Male,0,Yes,Yes,27,2300.4,Silver,20.5
1091-SOZGA,Female,0,Yes,Yes,56,5588.8,Gold,48.0
2928-HLDBA,Female,0,No,No,6,124.19999999999999,Bronze,8.0
0404-SWRVG,Male,0,No,No,3,223.20000000000002,Bronze,6.5
6497-TILVL,Female,0,Yes,Yes,7,354.90000000000003,Bronze,13.5
7219-TLZHO,Female,0,Yes,Yes,4,83.4,Bronze,7.0
4622-YNKIJ,Male,0,No,No,33,2935.35,Silver,36.5
4412-YLTKF,Female,1,No,No,27,2107.35,Silver,23.5
6734-PSBAW,Male,0,Yes,No,72,1695.6000000000001,Silver,41.0
3930-ZGWVE,Male,0,No,No,1,19.75,Bronze,5.5
2639-UGMAZ,Male,1,No,No,71,4007.9500000000003,Gold,55.5
2876-GZYZC,Female,0,No,No,13,1117.3500000000001,Silver,16.5
6207-WIOLX,Female,0,Yes,Yes,25,1465.0,Silver,33.5
8587-XYZSF,Male,0,No,No,67,3386.85,Gold,43.5
3091-FYHKI,Male,0,No,No,1,35.45,Bronze,5.5
2372-HWUHI,Male,0,No,No,2,88.7,Bronze,6.0
7799-LGRDP,Female,0,No,No,43,1105.1,Silver,26.5
7850-VWJUU,Female,0,No,No,23,1725.0,Silver,13.5
3774-VBNXY,Female,0,Yes,Yes,64,1292.8,Silver,37.0
6217-KDYWC,Male,0,No,Yes,57,1117.2,Silver,33.5
0390-DCFDQ,Female,1,Yes,No,1,70.45,Bronze,5.5
3146-MSEGF,Female,1,Yes,Yes,72,6339.599999999999,Gold,71.0
4080-OGPJL,Female,0,No,No,8,569.2,Bronze,24.0
1095-WGNGG,Female,0,Yes,No,61,6164.05,Gold,50.5
2636-SJDOU,Male,0,No,No,64,5395.2,Gold,47.0
1131-QQZEB,Male,1,Yes,No,71,1700.45,Silver,40.5
5716-EZXZN,Female,0,Yes,Yes,65,6438.25,Gold,57.5
6837-BJYDQ,Male,0,No,No,3,58.800000000000004,Bronze,6.5
2135-RXIHG,Male,0,No,No,1,45.65,Bronze,5.5
6440-DKQGE,Male,0,No,Yes,30,1935.0,Silver,35.0
3466-BYAVD,Male,0,Yes,Yes,15,1042.5,Silver,32.5
3780-YVMFA,Female,0,Yes,Yes,8,548.4,Bronze,16.0
3874-EQOEP,Male,0,No,No,7,665.0,Bronze,14.5
1679-JRFBR,Female,0,Yes,Yes,70,7570.5,Gold,65.0
9073-ZZIAY,Male,0,Yes,Yes,62,5338.2,Gold,64.0
3077-RSNTJ,Female,0,Yes,Yes,6,118.19999999999999,Bronze,8.0
6551-GNYDG,Female,0,Yes,Yes,14,1132.6000000000001,Silver,17.0
9167-APMXZ,Female,0,No,No,22,1851.3000000000002,Silver,21.0
2749-CTKAJ,Male,0,Yes,Yes,22,443.29999999999995,Bronze,16.0
6371-NZYEG,Male,0,Yes,Yes,16,1028.0,Silver,28.0
7554-NEWDD,Male,0,No,No,10,257.0,Bronze,10.0
8992-VONJD,Female,0,No,Yes,13,728.0,Bronze,21.5
0867-MKZVY,Female,0,Yes,No,20,1648.0,Silver,20.0
4482-EWFMI,Female,0,No,No,2,139.4,Bronze,6.0
4648-YPBTM,Male,0,No,No,53,3916.7000000000003,Gold,47.5
2907-ILJBN,Female,0,Yes,Yes,11,226.60000000000002,Bronze,6.5
6345-FZOQH,Male,0,Yes,No,69,1373.1,Silver,39.5
3376-BMGFE,Female,0,No,No,4,283.6,Bronze,3.0
5997-OPVFA,Male,0,Yes,No,72,6411.599999999999,Gold,63.0
3445-HXXGF,Male,1,Yes,No,58,2627.3999999999996,Silver,24.0
1159-WFSGR,Female,0,Yes,Yes,16,326.4,Bronze,13.0
7654-YWJUF,Male,0,Yes,No,43,3622.75,Gold,41.5
1875-QIVME,Female,0,Yes,No,2,208.8,Bronze,22.0
6727-IOTLZ,Male,0,Yes,No,14,1147.3,Silver,37.0
0691-JVSYA,Female,0,Yes,No,53,5027.049999999999,Gold,26.5
5918-VUKWP,Female,0,No,No,32,657.6,Bronze,21.0
1744-JHKYS,Female,0,Yes,No,34,839.8,Bronze,22.0
2656-FMOKZ,Female,1,No,No,15,1116.75,Silver,6.5
2070-FNEXE,Female,1,No,No,7,535.15,Bronze,13.5
5947-SGKCL,Female,0,Yes,Yes,15,1580.25,Silver,32.5
3712-PKXZA,Male,0,Yes,No,61,1253.55,Silver,35.5
6317-YPKDH,Female,0,No,No,1,29.95,Bronze,5.5
6582-OIVSP,Female,0,No,No,1,45.3,Bronze,5.5
9367-WXLCH,Male,0,No,No,8,676.0,Bronze,14.0
5524-KHNJP,Male,0,Yes,Yes,33,2466.75,Silver,41.5
1918-ZBFQJ,Female,0,No,No,13,1030.25,Silver,13.5
1024-GUALD,Female,0,Yes,No,1,24.8,Bronze,-7.5
4827-USJHP,Male,0,No,No,20,1036.0,Silver,20.0
8167-GJLRN,Male,0,No,No,3,91.19999999999999,Bronze,6.5
0956-SYCWG,Female,0,No,No,13,255.45,Bronze,11.5
8017-UVSZU,Female,0,Yes,No,40,2264.0,Silver,30.0
7100-FQPRV,Male,0,Yes,Yes,43,3091.7000000000003,Gold,41.5
2472-OVKUP,Male,0,Yes,No,6,546.0,Bronze,23.0
2984-RGEYA,Female,0,Yes,Yes,69,1362.75,Silver,39.5
9680-NIAUV,Female,0,Yes,Yes,72,7898.400000000001,Gold,66.0
2146-EGVDT,Male,0,Yes,Yes,59,1138.7,Silver,34.5
2604-IJPDU,Female,0,Yes,No,20,1931.0,Silver,35.0
9178-JHUVJ,Male,0,Yes,Yes,24,578.4000000000001,Bronze,17.0
6168-YBYNP,Male,0,No,No,59,6569.65,Gold,59.5
7255-SSFBC,Male,0,Yes,Yes,72,8082.0,Gold,66.0
3645-DEYGF,Male,0,No,Yes,1,20.75,Bronze,5.5
9323-HGFWY,Female,0,Yes,No,27,2751.3,Silver,38.5
8544-GOQSH,Female,0,No,No,14,1120.7,Silver,22.0
3363-DTIVD,Male,0,Yes,Yes,71,7494.05,Gold,60.5
7018-WBJNK,Male,0,No,Yes,13,1017.9,Silver,16.5
9142-KZXOP,Male,0,No,No,44,3029.3999999999996,Gold,27.0
7674-YTAFD,Female,0,No,No,33,2638.35,Silver,21.5
6348-SNFUS,Male,0,Yes,Yes,72,3992.4,Gold,61.0
1285-OKIPP,Male,0,No,No,1,79.9,Bronze,10.5
7825-ECJRF,Female,0,No,No,19,2025.3999999999999,Silver,35.5
1347-KTTTA,Male,0,Yes,No,64,6556.8,Gold,62.0
7841-TZDMQ,Male,0,No,No,2,92.0,Bronze,6.0
4195-NZGTA,Female,0,No,No,1,25.25,Bronze,-9.5
7157-SMCFK,Male,0,No,Yes,61,1204.75,Silver,35.5
4709-LKHYG,Female,0,Yes,Yes,29,580.0,Bronze,19.5
2504-DSHIH,Male,1,Yes,No,23,1996.3999999999999,Silver,13.5
0699-NDKJM,Female,0,Yes,No,57,3348.75,Gold,49.5
9286-BHDQG,Male,0,Yes,Yes,72,3258.0,Gold,56.0
0230-WEQUW,Male,0,Yes,No,66,3735.6,Gold,58.0
2040-LDIWQ,Male,0,Yes,Yes,65,5473.0,Gold,62.5
6496-JDSSB,Female,0,No,No,8,640.0,Bronze,14.0
9408-SSNVZ,Female,0,No,No,4,280.6,Bronze,7.0
4443-EMBNA,Female,0,Yes,No,71,1757.25,Silver,40.5
6469-MRVET,Male,0,Yes,Yes,1,20.2,Bronze,5.5
0742-MOABM,Male,0,Yes,No,4,200.2,Bronze,12.0
5961-VUSRV,Female,0,No,No,12,232.20000000000002,Bronze,11.0
6778-JFCMK,Male,0,No,No,24,1214.4,Silver,27.0
6341-JVQGF,Female,0,Yes,Yes,31,2515.65,Silver,45.5
2232-DMLXU,Female,0,Yes,No,1,55.2,Bronze,10.5
4811-JBUVU,Male,0,No,No,30,2697.0,Silver,30.0
0945-TSONX,Female,0,Yes,Yes,47,4009.1,Gold,53.5
2651-ZCBXV,Male,0,No,No,54,5832.0,Gold,57.0
3316-UWXUY,Male,0,No,No,50,4675.0,Gold,50.0
8937-RDTHP,Male,0,No,No,1,84.6,Bronze,11.5
7083-MIOPC,Female,0,No,No,72,1458.0,Silver,41.0
1984-GPTEH,Female,0,No,No,29,729.3499999999999,Bronze,19.5
1251-KRREG,Male,0,No,No,2,108.8,Bronze,11.0
0621-JFHOL,Female,0,No,No,10,296.0,Bronze,10.0
9903-LYSAB,Male,0,Yes,No,18,1316.7,Silver,14.0
0094-OIFMO,Female,1,No,No,11,1045.0,Silver,25.5
9227-UAQFT,Male,0,No,No,16,316.0,Bronze,13.0
7301-ABVAD,Female,0,No,No,72,6235.2,Gold,62.0
6614-FHDBO,Male,0,No,No,72,7862.400000000001,Gold,58.0
7576-ASEJU,Female,0,Yes,Yes,41,3062.7000000000003,Gold,37.5
9058-HRZSV,Female,1,Yes,No,65,6136.0,Gold,57.5
4522-AKYLR,Female,1,No,No,13,712.4,Bronze,21.5
0221-WMXNQ,Male,1,No,No,4,301.4,Bronze,10.0
0303-UNCIP,Male,0,No,No,41,2665.0,Silver,35.5
9947-OTFQU,Male,1,No,No,15,1116.0,Silver,17.5
0322-YINQP,Male,0,No,No,1,48.55,Bronze,10.5
0959-WHOKV,Male,0,No,No,42,4158.0,Gold,46.0
4075-JFPGR,Female,0,Yes,No,51,4768.5,Gold,40.5
4629-NRXKX,Female,0,Yes,Yes,2,140.8,Bronze,6.0
9514-JDSKI,Male,1,Yes,No,1,40.2,Bronze,10.5
3282-ZISZV,Male,0,No,Yes,32,2678.4,Silver,46.0
3675-YDUPJ,Male,0,No,No,10,198.5,Bronze,10.0
4111-BNXIF,Female,0,Yes,Yes,67,3989.85,Gold,58.5
7017-VFHAY,Female,0,Yes,Yes,61,7021.099999999999,Gold,65.5
6655-LHBYW,Male,0,No,No,50,5717.5,Gold,60.0
4959-JOSRX,Female,0,Yes,No,2,89.2,Bronze,6.0
5046-NUHWD,Female,1,Yes,No,29,1305.0,Silver,21.5
7273-TEFQD,Male,1,No,No,3,123.44999999999999,Bronze,11.5
3606-TWKGI,Male,1,No,No,13,1389.7,Silver,27.5
7529-ZDFXI,Male,1,Yes,No,57,5121.45,Gold,33.5
7605-BDWDC,Female,0,No,No,31,1545.3500000000001,Silver,35.5
1950-KSVVJ,Female,0,Yes,No,45,5098.5,Gold,57.5
0123-CRBRT,Female,0,Yes,Yes,61,5374.099999999999,Gold,61.5
6292-TOSSS,Male,0,No,No,50,1245.0,Silver,30.0
3197-ARFOY,Female,1,No,No,19,1995.0,Silver,39.5
6323-AYBRX,Male,0,No,No,59,1141.65,Silver,26.5
7014-ZZXAW,Female,0,Yes,No,71,1721.75,Silver,40.5
4385-GZQXV,Female,1,No,No,16,1511.2,Silver,24.0
7633-MVPUY,Male,0,Yes,No,57,3405.75,Gold,48.5
6366-ZGQGL,Male,0,No,No,1,24.8,Bronze,0.5
4716-HHKQH,Male,1,Yes,No,20,2141.0,Silver,35.0
5940-AHUHD,Male,0,No,No,1,70.6,Bronze,5.5
6432-TWQLB,Male,0,Yes,No,5,427.0,Bronze,17.5
4484-GLZOU,Female,0,Yes,No,52,5462.599999999999,Gold,31.0
3179-GBRWV,Male,1,Yes,No,21,1363.95,Silver,30.5
8645-KWHJO,Male,0,No,No,14,770.0,Bronze,27.0
4130-MZLCC,Female,0,No,No,5,252.75,Bronze,12.5
0314-TKOSI,Female,0,No,No,6,330.9,Bronze,18.0
8229-MYEJZ,Female,0,No,No,10,512.0,Bronze,15.0
2080-SRCDE,Female,0,No,Yes,1,25.4,Bronze,5.5
9577-WJVCQ,Female,0,No,No,68,3702.6000000000004,Gold,44.0
9512-UIBFX,Male,0,Yes,Yes,18,1712.7,Silver,21.0
6202-DYYFX,Female,0,No,No,22,1672.0,Silver,16.0
3808-HFKDE,Female,0,No,No,20,887.0,Bronze,15.0
5583-SXDAG,Male,0,Yes,No,1,70.0,Bronze,5.5
3488-PGMQJ,Male,1,No,No,8,596.0,Bronze,14.0
3580-REOAC,Male,0,No,No,10,448.5,Bronze,10.0
7534-BFESC,Male,1,No,No,24,1826.3999999999999,Silver,17.0
3727-OWVYD,Male,0,No,No,35,2142.0,Silver,37.5
2294-SALNE,Male,0,Yes,Yes,23,1996.3999999999999,Silver,31.5
4847-TAJYI,Female,1,No,No,6,536.0999999999999,Bronze,18.0
1563-IWQEX,Female,0,No,No,12,236.39999999999998,Bronze,7.0
8203-XJZRC,Male,0,No,No,1,20.25,Bronze,5.5
6556-DBKZF,Female,0,Yes,Yes,71,5399.55,Gold,45.5
6851-WEFYX,Male,1,Yes,No,35,3528.0,Gold,31.5
2985-JUUBZ,Male,0,Yes,Yes,40,2982.0,Silver,40.0
6390-DSAZX,Female,0,No,Yes,1,73.6,Bronze,10.5
0895-LMRSF,Male,0,No,No,23,1492.7,Silver,26.5
8098-LLAZX,Female,1,No,No,4,381.8,Bronze,17.0
8266-VBFQL,Male,0,No,No,4,361.6,Bronze,22.0
8181-YHCMF,Female,0,Yes,Yes,68,4100.4,Gold,55.0
2240-HSJQD,Male,0,No,Yes,38,3110.2999999999997,Gold,29.0
1248-DYXUB,Male,0,Yes,Yes,52,1289.6000000000001,Silver,31.0
0265-EDXBD,Male,1,Yes,No,32,2396.8,Silver,21.0
4115-BNPJY,Male,0,Yes,Yes,29,2190.95,Silver,31.5
3167-SNQPL,Male,1,Yes,Yes,38,3843.7000000000003,Gold,31.0
4091-TVOCN,Male,0,No,Yes,48,3780.0,Gold,49.0
1098-TDVUQ,Female,0,No,No,1,19.25,Bronze,5.5
7277-OZCGZ,Female,0,No,No,22,1959.1,Silver,31.0
1557-EMYVT,Female,0,No,No,43,4947.15,Gold,56.5
2799-ARNLO,Female,1,Yes,No,5,346.75,Bronze,7.5
7563-BIUPC,Male,0,No,No,5,403.0,Bronze,12.5
5027-YOCXN,Male,0,Yes,Yes,51,5612.55,Gold,55.5
3973-SKMLN,Male,0,No,No,71,1412.8999999999999,Silver,40.5
2321-OMBXY,Female,0,Yes,Yes,38,3051.4,Gold,37.0
2840-XANRC,Male,1,Yes,No,24,2235.6000000000004,Silver,24.0
6745-JEFZB,Male,0,Yes,No,35,3202.5,Gold,32.5
5020-ZSTTY,Female,1,No,No,54,4452.3,Gold,37.0
9880-TDQAC,Female,0,Yes,Yes,72,4320.0,Gold,61.0
8705-WZCYL,Male,0,No,No,1,44.8,Bronze,5.5
7102-JJVTX,Female,0,Yes,Yes,9,437.40000000000003,Bronze,12.5
8626-PTQGE,Male,0,No,No,69,4143.45,Gold,59.5
4983-CLMLV,Female,0,Yes,No,52,5340.400000000001,Gold,43.0
5701-YVSVF,Female,1,Yes,No,11,911.9000000000001,Bronze,20.5
5804-LEPIM,Female,1,No,No,2,140.7,Bronze,6.0
5697-GOMBF,Female,1,Yes,Yes,28,1005.1999999999999,Silver,19.0
2739-CACDQ,Female,1,No,No,17,1405.0500000000002,Silver,12.5
9385-EHGDO,Female,0,Yes,Yes,35,694.75,Bronze,22.5
9498-FIMXL,Female,0,No,No,8,153.6,Bronze,9.0
2379-GYFLQ,Male,0,No,No,46,4365.400000000001,Gold,43.0
0122-OAHPZ,Female,0,No,No,7,516.9499999999999,Bronze,8.5
2868-SNELZ,Female,0,No,No,2,161.2,Bronze,11.0
4322-RCYMT,Male,0,Yes,Yes,68,5154.4,Gold,35.0
6680-NENYN,Female,0,No,No,43,4497.8,Gold,30.5
2088-IEBAU,Female,0,No,No,68,5994.200000000001,Gold,69.0
7982-VCELR,Female,0,No,No,36,3412.7999999999997,Gold,38.0
1343-EHPYB,Male,0,Yes,No,63,6514.200000000001,Gold,40.5
6035-BXTTY,Female,1,No,No,32,1748.8,Silver,31.0
6885-PKOAM,Female,0,Yes,No,71,6088.25,Gold,70.5
7520-HQWJU,Female,0,Yes,Yes,66,4451.7,Gold,53.0
9639-BUJXT,Male,0,No,No,63,1291.5,Silver,36.5
5924-SNGKP,Female,0,No,Yes,41,830.25,Bronze,17.5
0021-IKXGC,Female,1,No,No,1,72.1,Bronze,5.5
2034-GDRCN,Female,0,No,No,2,180.8,Bronze,12.0
8966-SNIZF,Female,0,Yes,No,70,1361.5,Silver,36.0
6243-OZGFH,Female,0,No,No,23,1033.8500000000001,Silver,21.5
4654-DLAMQ,Female,1,Yes,No,64,6208.0,Gold,57.0
0513-RBGPE,Male,0,Yes,Yes,37,2323.6,Silver,28.5
5160-UXJED,Male,0,No,Yes,17,758.2,Bronze,9.5
4115-NZRKS,Female,1,No,No,7,624.0500000000001,Bronze,18.5
0219-YTZUE,Male,0,Yes,Yes,4,339.2,Bronze,17.0
0623-IIHUG,Female,1,No,No,21,879.9,Bronze,16.5
4572-DVCGN,Female,0,No,No,10,802.5,Bronze,15.0
3351-NGXYI,Female,1,No,No,16,865.6,Bronze,18.0
8984-EYLLL,Male,0,Yes,No,64,6736.0,Gold,57.0
9057-MSWCO,Male,1,Yes,No,27,830.25,Bronze,18.5
9833-TGFHX,Male,0,Yes,Yes,42,4078.2,Gold,41.0
9294-TDIPC,Male,0,No,Yes,5,101.0,Bronze,7.5
5229-DTFYB,Female,0,No,No,41,4050.7999999999997,Gold,45.5
0104-PPXDV,Male,0,Yes,No,58,2917.3999999999996,Silver,39.0
5176-LMJXE,Female,0,No,No,47,965.85,Bronze,20.5
3583-KRKMD,Male,0,No,No,18,1366.2,Silver,15.0
1010-DIAUQ,Male,0,No,No,5,482.5,Bronze,22.5
9069-LGEUL,Male,0,Yes,No,23,1378.8500000000001,Silver,26.5
7302-ZHMHP,Female,0,No,No,1,19.15,Bronze,5.5
9571-EDEBV,Male,0,Yes,No,71,7004.150000000001,Gold,55.5
3520-FJGCV,Male,0,Yes,Yes,72,8107.2,Gold,71.0
6563-VRERX,Male,0,Yes,Yes,33,679.8000000000001,Bronze,21.5
0259-GBZSH,Male,0,No,No,2,171.3,Bronze,11.0
6122-EFVKN,Male,0,No,Yes,24,858.0,Bronze,20.0
2805-EDJPQ,Female,0,Yes,Yes,56,5586.0,Gold,53.0
6862-CQUMB,Male,0,No,No,37,3555.7,Gold,38.5
7156-MXBJE,Female,0,No,No,43,3659.2999999999997,Gold,51.5
6158-HDPXZ,Male,0,No,No,1,25.35,Bronze,0.5
9601-BRXPO,Female,0,Yes,No,25,2623.75,Silver,29.5
2863-IMQDR,Female,0,No,No,61,5468.650000000001,Gold,65.5
5686-CMAWK,Male,0,No,No,17,1474.75,Silver,23.5
5651-CRHKQ,Female,0,Yes,No,41,3534.2000000000003,Gold,40.5
6905-NIQIN,Male,0,No,No,1,50.65,Bronze,10.5
8204-YJCLA,Male,1,Yes,Yes,72,4665.599999999999,Gold,66.0
5167-ZFFMM,Male,0,No,No,1,90.85,Bronze,15.5
6583-SZVGP,Male,0,No,No,48,5188.799999999999,Gold,49.0
4895-TMWIR,Male,1,Yes,No,11,219.45,Bronze,10.5
0533-BNWKF,Female,1,Yes,No,55,4699.75,Gold,26.5
1708-PBBOA,Female,0,No,No,42,2299.5,Silver,42.0
8782-LKFPK,Male,0,No,No,44,3977.6000000000004,Gold,37.0
5522-JBWMO,Male,0,No,Yes,1,44.0,Bronze,5.5
